closed shrublands,48.0
croplands,101.0
deciduous broadleaf forest,128.2
grasslands,93.0
open shrublands,215.0
permanent wetlands,47.0
savannas,218.0
urban and built-up,156.0
water,0.0
woody savannas,130.0
